都道府県,地域名,0_常住地による人口（夜間人口）,001_従業も通学もしていない,002_自市区町村で従業・通学,0021_自宅で従業,0022_自宅外の自市区町村で従業・通学,003_他市区町村で従業・通学,0031_自市内他区で従業・通学,0032_県内他市町村で従業・通学,0033_他県で従業・通学,0034_従業・通学市区町村「不詳・外国」,004_従業地・通学地「不詳」,0R1_（再掲）流出人口,1_従業地・通学地による人口（昼間人口）,101_うち他市区町村に常住,1011_自市内他区に常住,1012_県内他市町村に常住,1013_他県に常住,102_うち従業地・通学地「不詳」又は従業・通学市区町村「不詳・外国」で当地に常住している者,1R1_（再掲）流入人口,
北海道,北広島市,58171,21543,15752,1539,14213,15232,0,14968,80,184,5644,15048,59352,16229,0,16209,20,5828,16229,102.03022
北海道,石狩市,56869,19832,15562,2163,13399,12304,0,12018,48,238,9171,12066,61820,17017,0,16985,32,9409,17017,108.70597
北海道,北斗市,44302,16221,14538,2210,12328,11090,0,10909,129,52,2453,11038,39973,6709,0,6685,24,2505,6709,90.22843
北海道,当別町,15916,5483,5697,1369,4328,3602,0,3525,22,55,1134,3547,16052,3683,0,3670,13,1189,3683,100.85449
北海道,新篠津村,3044,984,1516,645,871,284,0,275,2,7,260,277,3385,618,0,617,1,267,618,111.20237
北海道,松前町,6260,3234,2684,394,2290,270,0,215,48,7,72,263,6089,92,0,88,4,79,92,97.26837
北海道,福島町,3794,1879,1487,322,1165,327,0,236,78,13,101,314,3643,163,0,162,1,114,163,96.02003
北海道,知内町,4167,1495,2065,486,1579,398,0,372,21,5,209,393,4190,416,0,414,2,214,416,100.55196
北海道,木古内町,3832,1802,1343,270,1073,493,0,458,21,14,194,479,3777,424,0,424,0,208,424,98.56472
北海道,七飯町,27686,12373,7532,1394,6138,7041,0,6906,56,79,740,6962,24489,3765,0,3757,8,819,3765,88.45265
北海道,鹿部町,3760,1599,1752,606,1146,390,0,374,10,6,19,384,3713,337,0,337,0,25,337,98.75
北海道,森町,14338,5796,7362,1547,5815,1042,0,974,45,23,138,1019,14351,1032,0,1030,2,161,1032,100.09067
北海道,八雲町,15826,5633,8632,1723,6909,608,0,570,16,22,953,586,16060,820,0,802,18,975,820,101.47858
北海道,長万部町,5109,1988,2742,461,2281,237,0,230,1,6,142,231,5260,382,0,370,12,148,382,102.95557
北海道,江差町,7428,2985,3413,472,2941,658,0,620,19,19,372,639,7955,1166,0,1163,3,391,1166,107.09478
北海道,上ノ国町,4306,1937,1693,330,1363,640,0,606,21,13,36,627,3954,275,0,274,1,49,275,91.82536
北海道,厚沢部町,3592,1384,1779,561,1218,422,0,411,8,3,7,419,3709,536,0,533,3,10,536,103.25724
北海道,乙部町,3403,1528,1233,176,1057,627,0,600,26,1,15,626,3018,241,0,241,0,16,241,88.68645
北海道,奥尻町,2410,960,1442,261,1181,6,0,5,1,0,2,6,2430,26,0,26,0,2,26,100.82988
北海道,今金町,5072,1937,2655,706,1949,313,0,310,0,3,167,310,5092,330,0,330,0,170,330,100.39432
北海道,せたな町,7398,3166,3857,1014,2843,340,0,331,6,3,35,337,7362,301,0,300,1,38,301,99.51338
北海道,島牧村,1356,617,598,153,445,131,0,128,1,2,10,129,1288,61,0,60,1,12,61,94.98525
北海道,寿都町,2838,1194,1440,170,1270,166,0,157,4,5,38,161,2930,253,0,252,1,43,253,103.24172
北海道,黒松内町,2791,1205,1393,185,1208,160,0,152,0,8,33,152,2842,203,0,198,5,41,203,101.8273
北海道,蘭越町,4568,1582,2182,659,1523,498,0,480,2,16,306,482,4372,286,0,273,13,322,286,95.70928
北海道,ニセコ町,5074,1569,2354,633,1721,673,0,656,8,9,478,664,5198,788,0,770,18,487,788,102.44383
北海道,真狩村,2045,667,1118,390,728,243,0,240,2,1,17,242,2098,295,0,295,0,18,295,102.59169
北海道,留寿都村,1911,461,1291,330,961,151,0,149,0,2,8,149,2262,500,0,495,5,10,500,118.36735
北海道,喜茂別町,2156,786,929,275,654,290,0,288,0,2,151,288,2120,252,0,252,0,153,252,98.33024
北海道,京極町,2941,986,1303,290,1013,412,0,401,2,9,240,403,2960,422,0,421,1,249,422,100.64604
北海道,倶知安町,15129,4503,8199,1126,7073,992,0,971,5,16,1435,976,16164,2011,0,1982,29,1451,2011,106.84117
北海道,共和町,5772,1889,2445,847,1598,1234,0,1228,3,3,204,1231,5401,860,0,857,3,207,860,93.57242
北海道,岩内町,11648,4710,4906,610,4296,1638,0,1586,32,20,394,1618,10870,840,0,838,2,414,840,93.32074
北海道,泊村,1569,649,704,85,619,210,0,202,4,4,6,206,2507,1144,0,1141,3,10,1144,159.7833
北海道,神恵内村,870,419,358,74,284,93,0,91,1,1,0,92,839,61,0,61,0,1,61,96.43678
北海道,積丹町,1831,750,818,320,498,221,0,213,2,6,42,215,1745,129,0,129,0,48,129,95.30311
北海道,古平町,2745,1146,1181,224,957,304,0,298,2,4,114,300,2731,286,0,285,1,118,286,99.48998
北海道,仁木町,3180,1140,1522,656,866,451,0,445,3,3,67,448,3444,712,0,706,6,70,712,108.30189
北海道,余市町,18000,7422,7536,1448,6088,2238,0,2204,16,18,804,2220,17256,1476,0,1451,25,822,1476,95.86667
北海道,赤井川村,1165,341,694,173,521,125,0,123,1,1,5,124,1336,295,0,292,3,6,295,114.67811
北海道,南幌町,7319,2645,2367,622,1745,1931,0,1887,11,33,376,1898,6658,1237,0,1237,0,409,1237,90.96871
北海道,奈井江町,5120,2218,1882,454,1428,975,0,968,2,5,45,970,5406,1256,0,1255,1,50,1256,105.58594
北海道,上砂川町,2841,1609,612,66,546,607,0,603,0,4,13,603,2615,377,0,377,0,17,377,92.04505
北海道,由仁町,4822,1748,2139,943,1196,862,0,854,5,3,73,859,4897,934,0,933,1,76,934,101.55537
北海道,長沼町,10289,3347,4619,1711,2908,1660,0,1616,9,35,663,1625,10492,1828,0,1825,3,698,1828,101.97298
北海道,栗山町,11272,4374,4851,1155,3696,1672,0,1644,11,17,375,1655,11125,1508,0,1506,2,392,1508,98.69588
北海道,月形町,3691,1920,1486,454,1032,217,0,211,2,4,68,213,4053,575,0,574,1,72,575,109.80764
北海道,浦臼町,1732,654,852,395,457,215,0,207,0,8,11,207,1784,259,0,257,2,19,259,103.00231
北海道,新十津川町,6484,2479,2164,793,1371,1412,0,1381,12,19,429,1393,6050,959,0,959,0,448,959,93.3066
北海道,妹背牛町,2693,1124,1151,497,654,414,0,409,0,5,4,409,2750,466,0,465,1,9,466,102.1166
北海道,秩父別町,2329,963,959,364,595,369,0,363,0,6,38,363,2251,285,0,285,0,44,285,96.65092
北海道,雨竜町,2389,919,1124,451,673,342,0,342,0,0,4,342,2488,441,0,437,4,4,441,104.14399
北海道,北竜町,1724,694,861,351,510,167,0,166,0,1,2,166,1782,224,0,223,1,3,224,103.36427
北海道,沼田町,2909,1100,1467,509,958,313,0,306,3,4,29,309,2907,307,0,307,0,33,307,99.93125
北海道,鷹栖町,6567,2371,2003,604,1399,1966,0,1942,5,19,227,1947,5799,1179,0,1179,0,246,1179,88.30516
北海道,東神楽町,10127,3498,2809,643,2166,3264,0,3218,11,35,556,3229,8483,1585,0,1585,0,591,1585,83.76617
北海道,当麻町,6319,2420,2294,839,1455,1487,0,1464,9,14,118,1473,5800,954,0,952,2,132,954,91.78668
北海道,比布町,3520,1377,1304,491,813,833,0,822,3,8,6,825,3088,393,0,393,0,14,393,87.72727
北海道,愛別町,2605,1103,1118,244,874,348,0,336,1,11,36,337,2653,385,0,385,0,47,385,101.84261
北海道,上川町,3500,1466,1859,260,1599,175,0,172,2,1,0,174,3717,391,0,387,4,1,391,106.2
北海道,東川町,8314,3002,3312,768,2544,1962,0,1931,9,22,38,1940,8277,1903,0,1900,3,60,1903,99.55497
北海道,美瑛町,9668,3752,4809,1518,3291,998,0,960,15,23,109,975,9779,1086,0,1072,14,132,1086,101.14812
北海道,上富良野町,10348,3394,5281,955,4326,1276,0,1250,4,22,397,1254,10106,1012,0,1010,2,419,1012,97.66138
北海道,中富良野町,4733,1632,2110,895,1215,873,0,866,1,6,118,867,4499,633,0,629,4,124,633,95.05599
北海道,南富良野町,2376,868,1332,232,1100,135,0,130,1,4,41,131,2459,214,0,212,2,45,214,103.49327
北海道,占冠村,1306,309,879,96,783,60,0,58,1,1,58,59,1501,254,0,225,29,59,254,114.93109
北海道,和寒町,3192,1235,1616,538,1078,332,0,324,4,4,9,328,3130,266,0,266,0,13,266,98.05764
北海道,剣淵町,2926,1017,1560,669,891,344,0,340,1,3,5,341,2846,261,0,261,0,8,261,97.26589
